# Rime user dictionary
#@/db_name	cangjie5
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1278
#@/user_id	d06b849a-f2b9-43d0-a3a2-e519e294079d
suok 	改	c=1 d=0.00341356 t=1278
tbd 	菜	c=2 d=0.862931 t=1278
tbln 	前	c=1 d=0.0539337 t=1278
tbnf 	煎	c=3 d=1.35295 t=1278
tcb 	期	c=3 d=0.0805811 t=1278
tctd 	業	c=1 d=0.0157644 t=1278
tehr 	落	c=1 d=0.329559 t=1278
tgbuu 	觀	c=2 d=0.0525468 t=1278
tgii 	藝	c=1 d=0.465334 t=1278
tgtr 	善	c=1 d=0.066205 t=1278
thbu 	首	c=2 d=0.0537267 t=1278
thwp 	蔥	c=1 d=0.187308 t=1278
tknl 	鄭	c=3 d=0.459251 t=1278
tlbk 	英	c=1 d=0.00831246 t=1278
tmlc 	黃	c=2 d=0.761976 t=1278
tmmv 	甚	c=1 d=0.600496 t=1278
tmtj 	華	c=5 d=0.56846 t=1278
tn 	芎	c=1 d=0.0238732 t=1278
tniu 	苑	c=2 d=0.044664 t=1278
togx 	舊	c=1 d=0.00307331 t=1278
top 	花	c=1 d=0.0294518 t=1278
tqsmm 	翔	c=1 d=0.00369786 t=1278
tvbm 	甚且	c=1 d=0.744532 t=1278
twdi 	尊	c=1 d=0.231078 t=1278
twlb 	萬	c=3 d=0.0779384 t=1278
tydl 	薪	c=1 d=0.00474815 t=1278
u 	山	c=1 d=0.00336274 t=1278
ujmrt 	豐	c=1 d=0.0347353 t=1278
uk 	凶	c=1 d=0.0323869 t=1278
umr 	岩	c=1 d=0.137381 t=1278
v 	女	c=1 d=0.873716 t=1278
veln 	剝	c=1 d=0.00594622 t=1278
vfbtv 	網	c=5 d=0.394295 t=1278
vfdwf 	練	c=1 d=0.240508 t=1278
vfhae 	線	c=4 d=0.447635 t=1278
vfher 	絡	c=1 d=0.017163 t=1278
vfhvp 	紙	c=1 d=0.0441572 t=1278
vfmvm 	經	c=6 d=0.945964 t=1278
vfnhe 	級	c=1 d=0.782705 t=1278
vfob 	納	c=1 d=0.00404611 t=1278
vfsu 	紀	c=3 d=0.125563 t=1278
vgyhv 	裝	c=4 d=0.123638 t=1278
vhiil 	鄉	c=1 d=0.367879 t=1278
vhpa 	婚	c=1 d=0.29671 t=1278
vihml 	斷	c=1 d=0.687289 t=1278
vio 	以	c=2 d=0.00603073 t=1278
vlok 	收	c=4 d=0.359722 t=1278
vlw 	妯	c=1 d=0.00683978 t=1278
vlyta 	響	c=1 d=0.955997 t=1278
vmbdi 	將	c=4 d=0.0424045 t=1278
vnd 	好	c=3 d=0.50678 t=1278
vr 	如	c=1 d=0.00538036 t=1278
vwg 	娌	c=1 d=0.00687406 t=1278
vwyi 	姆	c=1 d=0.00260584 t=1278
vyhs 	妨	c=1 d=0.00653881 t=1278
wc 	四	c=1 d=0.292293 t=1278
wfyr 	點	c=1 d=0.275271 t=1278
wgrv 	園	c=3 d=0.0677721 t=1278
wher 	略	c=1 d=0.0195457 t=1278
wirm 	國	c=1 d=0.00516939 t=1278
wks 	男	c=1 d=0.865022 t=1278
wl 	甲	c=3 d=0.214642 t=1278
wlbuc 	買	c=6 d=1.69197 t=1278
wljbm 	置	c=4 d=0.0212806 t=1278
wlvfg 	羅	c=2 d=0.278225 t=1278
wp 	思	c=1 d=0.242926 t=1278
wr 	回	c=1 d=0.00398587 t=1278
wrjw 	圖	c=1 d=0.00178203 t=1278
ww 	田田	c=2 d=0.47318 t=1278
y 	卜	c=1 d=0.0217096 t=1278
yad 	桌	c=1 d=0.00882647 t=1278
ybbr 	過	c=2 d=0.114458 t=1278
ybhg 	望	c=1 d=0.00278085 t=1278
ybjj 	運	c=1 d=0.00394621 t=1278
ybou 	遙	c=2 d=0.00639755 t=1278
ybysp 	龍	c=1 d=0.136695 t=1278
yc 	六	c=1 d=0.00283702 t=1278
ycbr 	商	c=1 d=0.153355 t=1278
yck 	交	c=5 d=1.08714 t=1278
ydbuu 	親	c=1 d=0.869358 t=1278
ydhml 	新	c=3 d=0.324048 t=1278
ydl 	速	c=1 d=0.117655 t=1278
ydok 	敦	c=1 d=0.0761538 t=1278
yfb 	逍	c=2 d=0.00636564 t=1278
yg 	主	c=1 d=0.0804596 t=1278
yhds 	透	c=1 d=0.0123389 t=1278
yhgr 	造	c=2 d=0.576745 t=1278
yhml 	近	c=1 d=0.0303487 t=1278
yhus 	邊	c=2 d=0.360653 t=1278
yif 	熟	c=3 d=1.45837 t=1278
yk 	文	c=3 d=0.0199771 t=1278
ym 	上	c=5 d=0.639678 t=1278
ymy 	卡	c=1 d=0.00209124 t=1278
ynib 	通	c=2 d=0.170003 t=1278
yog 	進	c=1 d=0.00285124 t=1278
yonk 	夜	c=1 d=0.00402593 t=1278
yphen 	處	c=1 d=0.535261 t=1278
ypwbt 	盧	c=1 d=0.0029528 t=1278
